,title,population,gender,judicial_district,county,bop_region,full_address,visiting_status,datetime_of_data,zip_code
2422,USP TERRE HAUTE,1138,Male,Southern Indiana,VIGO,North Central Region,"4700 BUREAU ROAD SOUTH, TERRE HAUTE, IN 47802",Not Suspended,2024-02-13 10:58:51 PST,47802
2423,FCI TEXARKANA,1212,Male,Eastern Texas,Bowie,South Central Region,"4001 LEOPARD DRIVE, TEXARKANA, TX 75501",Not Suspended,2024-02-13 10:59:07 PST,75501
2424,FCI THOMSON,1850,Male,Northern District of Illinois,CARROLL,North Central Region,"1100 ONE MILE ROAD, THOMSON, IL 61285",Not Suspended,2024-02-13 10:59:22 PST,61285
2425,FCI THREE RIVERS,1292,Male,Southern Texas,Live Oak,South Central Region,"US HIGHWAY 72 WEST, THREE RIVERS, TX 78071",Not Suspended,2024-02-13 10:59:38 PST,78071
2426,FCI TUCSON,288,Male and Female,Arizona,PIMA,Western Region,"8901 S. WILMOT ROAD, TUCSON, AZ 85756",Not Suspended,2024-02-13 10:59:55 PST,85756
2427,USP TUCSON,1332,Male,Arizona,PIMA,Western Region,"9300 SOUTH WILMOT ROAD, TUCSON, AZ 85756",Not Suspended,2024-02-13 11:00:10 PST,85756
2428,FCI VICTORVILLE MEDIUM I,1574,Male and Female,Central California,SAN BERNARDINO,Western Region,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Not Suspended,2024-02-13 11:00:26 PST,92394
2429,FCI VICTORVILLE MEDIUM II,1354,Male,Central California,SAN BERNARDINO,Western Region,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Not Suspended,2024-02-13 11:00:42 PST,92394
2430,USP VICTORVILLE,1192,Male,Central California,San Bernardino,Western Region,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Suspended,2024-02-13 11:01:00 PST,92394
2431,FCI WASECA,789,Female,Minnesota,Waseca,North Central Region,"1000 UNIVERSITY DR, SW, WASECA, MN 56093",Not Suspended,2024-02-13 11:01:16 PST,56093
2432,FCI WILLIAMSBURG,1238,Male,South Carolina,Williamsburg,Southeast Region,"8301 HIGHWAY 521, SALTERS, SC 29590",Not Suspended,2024-02-13 11:01:33 PST,29590
2433,FPC YANKTON,423,Male,South Dakota,Yankton,North Central Region,"1016 DOUGLAS AVENUE, YANKTON, SD 57078",Not Suspended,2024-02-13 11:01:48 PST,57078
2434,FCI YAZOO CITY MEDIUM,1303,Male,Southern Mississippi,YAZOO,Southeast Region,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Not Suspended,2024-02-13 11:02:05 PST,39194
2435,FCI YAZOO CITY LOW,1368,Male,Southern Mississippi,YAZOO,Southeast Region,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Not Suspended,2024-02-13 11:02:21 PST,39194
2436,USP YAZOO CITY,1482,Male,Southern Mississippi,YAZOO,Southeast Region,"2225 HALEY BARBOUR PKWY, YAZOO CITY, MS 39194",Not Suspended,2024-02-13 11:02:37 PST,39194
2437,FPC ALDERSON,693,Female,Southern West Virginia,GREENBRIER,Mid-Atlantic Region,"GLEN RAY RD. BOX A, ALDERSON, WV 24910",Not Suspended,2024-04-01 09:40:13 PDT,24910
2438,FCI ALICEVILLE,1554,Female,Northern District of Alabama,PICKENS,Southeast Region,"11070 HIGHWAY 14, ALICEVILLE, AL 35442",Not Suspended,2024-04-01 09:40:29 PDT,35442
2439,FCI ALLENWOOD LOW,980,Male,Middle Pennsylvania,UNION,Northeast Region,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Not Suspended,2024-04-01 09:40:44 PDT,17810
2440,FCI ALLENWOOD MEDIUM,1280,Male,Middle Pennsylvania,Union,Northeast Region,"RT 15, 2 MI N OF ALLENWOOD, WHITE DEER, PA 17810",Suspended,2024-04-01 09:41:00 PDT,17810
2441,USP ALLENWOOD,296,Male,Middle Pennsylvania,Union,Northeast Region,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Not Suspended,2024-04-01 09:41:15 PDT,17810
2442,FCI ASHLAND,1281,Male,Eastern Kentucky,BOYD,Mid-Atlantic Region,"ST. ROUTE 716, ASHLAND, KY 41105",Not Suspended,2024-04-01 09:41:31 PDT,41105
2443,USP ATLANTA,1685,Male,Northern Georgia,FULTON,Southeast Region,"601 MCDONOUGH BLVD SE, ATLANTA, GA 30315",Not Suspended,2024-04-01 09:41:46 PDT,30315
2444,USP ATWATER,1169,Male,Eastern California,MERCED,Western Region,"1 FEDERAL WAY, ATWATER, CA 95301",Suspended,2024-04-01 09:42:02 PDT,95301
2445,FCI BASTROP,1053,Male,Western Texas,Bastrop,South Central Region,"1341 HIGHWAY 95 NORTH, BASTROP, TX 78602",Suspended,2024-04-01 09:42:17 PDT,78602
2446,FCI BEAUMONT LOW,1974,Male,Eastern Texas,Jefferson,South Central Region,"5560 KNAUTH ROAD, BEAUMONT, TX 77705",Not Suspended,2024-04-01 09:42:32 PDT,77705
2447,FCI BEAUMONT MEDIUM,1611,Male,Eastern Texas,Jefferson,South Central Region,"5830 KNAUTH ROAD, BEAUMONT, TX 77705",Not Suspended,2024-04-01 09:42:48 PDT,77705
2448,USP BEAUMONT,1194,Male,Eastern Texas,Jefferson,South Central Region,"6200 KNAUTH ROAD, BEAUMONT, TX 77705",Not Suspended,2024-04-01 09:43:03 PDT,77705
2449,FCI BECKLEY,1683,Male,Southern West Virginia,Raleigh,Mid-Atlantic Region,"1600 INDUSTRIAL ROAD, BEAVER, WV 25813",Not Suspended,2024-04-01 09:43:19 PDT,25813
2450,FCI BENNETTSVILLE,1621,Male,South Carolina,Marlboro,Southeast Region,"696 MUCKERMAN ROAD, BENNETTSVILLE, SC 29512",Not Suspended,2024-04-01 09:43:34 PDT,29512
2451,FCI BERLIN,819,Male,District of New Hampshire,COOS COUNTY,Northeast Region,"1 SUCCESS LOOP ROAD, BERLIN, NH 03570",Not Suspended,2024-04-01 09:43:50 PDT,03570
2452,USP BIG SANDY,1347,Male,Eastern Kentucky,Martin,Mid-Atlantic Region,"1197 AIRPORT ROAD, INEZ, KY 41224",Suspended,2024-04-01 09:44:05 PDT,41224
2453,FCI BIG SPRING,1034,Male,Northern Texas,HOWARD,South Central Region,"1900 SIMLER AVE, BIG SPRING, TX 79720",Not Suspended,2024-04-01 09:44:20 PDT,79720
2454,MDC BROOKLYN,1386,Male and Female,Eastern New York,KINGS,Northeast Region,"80 29TH STREET, BROOKLYN, NY 11232",Suspended,2024-04-01 09:44:36 PDT,11232
2455,FPC BRYAN,675,Female,Southern Texas,BRAZOS,South Central Region,"1100 URSULINE AVENUE, BRYAN, TX 77803",Not Suspended,2024-04-01 09:44:51 PDT,77803
2456,FCI BUTNER MEDIUM II,1355,Male,Eastern North Carolina,GRANVILLE,Mid-Atlantic Region,"OLD NC HWY 75, BUTNER, NC 27509",Not Suspended,2024-04-01 09:45:07 PDT,27509
2457,FCI BUTNER LOW,954,Male,Eastern North Carolina,GRANVILLE,Mid-Atlantic Region,"OLD NC HWY 75, BUTNER, NC 27509",Not Suspended,2024-04-01 09:45:22 PDT,27509
2458,FCI BUTNER MEDIUM I,843,Male,Eastern North Carolina,GRANVILLE,Mid-Atlantic Region,"OLD NC HWY 75, BUTNER, NC 27509",Not Suspended,2024-04-01 09:45:37 PDT,27509
2459,FMC BUTNER,832,Male,Eastern North Carolina,Granville,Mid-Atlantic Region,"OLD N. CAROLINA HWY 75, BUTNER, NC 27509",Not Suspended,2024-04-01 09:45:53 PDT,27509
2460,USP CANAAN,1262,Male,Middle Pennsylvania,WAYNE,Northeast Region,"3057 ERIC J. WILLIAMS, WAYMART, PA 18472",Suspended,2024-04-01 09:46:08 PDT,18472
2461,FMC CARSWELL,978,Female,Northern Texas,TARRANT,South Central Region,"NAVAL AIR STATION, FORT WORTH, TX 76127",Not Suspended,2024-04-01 09:46:24 PDT,76127
2462,MCC CHICAGO,514,Male and Female,Northern Illinois,COOK,North Central Region,"71 WEST VAN BUREN STREET, CHICAGO, IL 60605",Not Suspended,2024-04-01 09:46:39 PDT,60605
2463,FCI COLEMAN LOW,2080,Male,Middle Florida,SUMTER,Southeast Region,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Not Suspended,2024-04-01 09:46:55 PDT,33521
2464,FCI COLEMAN MEDIUM,1571,Male,Middle Florida,SUMTER,Southeast Region,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Suspended,2024-04-01 09:47:10 PDT,33521
2465,USP COLEMAN II,1127,Male,Middle Florida,SUMTER,Southeast Region,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Not Suspended,2024-04-01 09:47:25 PDT,33521
2466,USP COLEMAN I,1366,Male,Middle Florida,SUMTER,Southeast Region,"846 NE 54TH TERRACE, SUMTERVILLE, FL 33521",Not Suspended,2024-04-01 09:47:41 PDT,33521
2467,FCI CUMBERLAND,1035,Male,Maryland,Allegany,Mid-Atlantic Region,"14601 BURBRIDGE RD SE, CUMBERLAND, MD 21502",Not Suspended,2024-04-01 09:47:56 PDT,21502
2468,FCI DANBURY,1107,Male and Female,Connecticut,FAIRFIELD,Northeast Region,"33 1/2 PEMBROKE STATION, DANBURY, CT 06811",Not Suspended,2024-04-01 09:48:11 PDT,06811
2469,FMC DEVENS,930,Male,Massachusetts,MIDDLESEX,Northeast Region,"42 PATTON ROAD, AYER, MA 01432",Not Suspended,2024-04-01 09:48:27 PDT,01432
2470,FCI DUBLIN,629,Female,Northern California,Alameda,Western Region,"5701 8TH ST - CAMP PARKS, DUBLIN, CA 94568",Not Suspended,2024-04-01 09:48:42 PDT,94568
2471,FPC DULUTH,510,Male,Minnesota,SAINT LOUIS,North Central Region,"4464 RALSTON DRIVE, DULUTH, MN 55811",Not Suspended,2024-04-01 09:48:58 PDT,55811
2472,FCI EDGEFIELD,2062,Male,South Carolina,Edgefield,Southeast Region,"501 GARY HILL ROAD, EDGEFIELD, SC 29824",Suspended,2024-04-01 09:49:13 PDT,29824
2473,FCI EL RENO,1199,Male,Western Oklahoma,CANADIAN,South Central Region,"4205 HIGHWAY 66 WEST, EL RENO, OK 73036",Not Suspended,2024-04-01 09:49:28 PDT,73036
2474,FCI ELKTON,1827,Male,Northern Ohio,COLUMBIANA,Northeast Region,"8730 SCROGGS ROAD, LISBON, OH 44432",Not Suspended,2024-04-01 09:49:44 PDT,44432
2475,FCI ENGLEWOOD,897,Male,Colorado,JEFFERSON,North Central Region,"9595 WEST QUINCY AVENUE, LITTLETON, CO 80123",Not Suspended,2024-04-01 09:49:59 PDT,80123
2476,FCI ESTILL,64,Male,South Carolina,HAMPTON,Southeast Region,"100 PRISON ROAD, ESTILL, SC 29918",Not Suspended,2024-04-01 09:50:15 PDT,29918
2477,FCI FAIRTON,791,Male,New Jersey,Cumberland,Northeast Region,"655 FAIRTON-MILLVILLE ROAD, FAIRTON, NJ 08320",Not Suspended,2024-04-01 09:50:30 PDT,08320
2478,FCI FLORENCE,1259,Male,Colorado,Fremont,North Central Region,"5880 HWY 67 SOUTH, FLORENCE, CO 81226",Suspended,2024-04-01 09:50:45 PDT,81226
2479,USP FLORENCE ADMAX,326,Male,Colorado,Fremont,North Central Region,"5880 HWY 67 SOUTH, FLORENCE, CO 81226",Not Suspended,2024-04-01 09:51:01 PDT,81226
2480,USP FLORENCE - HIGH,883,Male,Colorado,Fremont,North Central Region,"5880 HWY 67 S, FLORENCE, CO 81226",Not Suspended,2024-04-01 09:51:16 PDT,81226
2481,FCI FORREST CITY MEDIUM,1667,Male,Eastern Arkansas,SAINT FRANCIS,South Central Region,"1400 DALE BUMPERS ROAD, FORREST CITY, AR 72335",Suspended,2024-04-01 09:51:32 PDT,72335
2482,FCI FORREST CITY LOW,1775,Male,Eastern Arkansas,SAINT FRANCIS,South Central Region,"1400 DALE BUMPERS ROAD, FORREST CITY, AR 72335",Not Suspended,2024-04-01 09:51:47 PDT,72335
2483,FCI FORT DIX,3935,Male,New Jersey,BURLINGTON,Northeast Region,"5756 HARTFORD &, JOINT BASE MDL, NJ 08640",Not Suspended,2024-04-01 09:52:02 PDT,08640
2484,FMC FORT WORTH,1483,Male,Northern Texas,Tarrant,South Central Region,"3150 HORTON ROAD, FORT WORTH, TX 76119",Not Suspended,2024-04-01 09:52:18 PDT,76119
2485,FCI GILMER,1582,Male,Northern West Virginia,GILMER,Mid-Atlantic Region,"201 FCI LANE, GLENVILLE, WV 26351",Not Suspended,2024-04-01 09:52:33 PDT,26351
2486,FCI GREENVILLE,1328,Male and Female,Southern Illinois,Bond,North Central Region,"100 U.S. HWY 40, GREENVILLE, IL 62246",Not Suspended,2024-04-01 09:52:49 PDT,62246
2487,MDC GUAYNABO,1084,Male and Female,"Puerto Rico, U.S. Virgin Islands",GUAYNABO,Southeast Region,"652 CARRETERA 28, GUAYNABO, PR 00965",Not Suspended,2024-04-01 09:53:04 PDT,00965
2488,FCI HAZELTON,2015,Male and Female,Northern District of West Virginia,PRESTON,Mid-Atlantic Region,"1640 SKY VIEW DRIVE, BRUCETON MILLS, WV 26525",Not Suspended,2024-04-01 09:53:19 PDT,26525
2489,USP HAZELTON,1409,Male,Northern District of West Virginia,PRESTON,Mid-Atlantic Region,"1640 SKY VIEW DRIVE, BRUCETON MILLS, WV 26525",Suspended,2024-04-01 09:53:35 PDT,26525
2490,FCI HERLONG,1396,Male,Eastern California,Lassen,Western Region,"741-925 ACCESS ROAD A-25, HERLONG, CA 96113",Not Suspended,2024-04-01 09:53:50 PDT,96113
2491,FDC HONOLULU,250,Male and Female,Hawaii,Honolulu,Western Region,"351 ELLIOTT ST, HONOLULU, HI 96819",Not Suspended,2024-04-01 09:54:05 PDT,96819
2492,FDC HOUSTON,720,Male and Female,Southern Texas,Harris,South Central Region,"1200 TEXAS AVENUE, HOUSTON, TX 77002",Not Suspended,2024-04-01 09:54:21 PDT,77002
2493,FCI JESUP,1661,Male,Southern Georgia,,Southeast Region,"2600 HIGHWAY 301 SOUTH, JESUP, GA 31599",Not Suspended,2024-04-01 09:54:36 PDT,31599
2494,FCI LA TUNA,663,Male,Western Texas,EL PASO,South Central Region,"8500 DONIPHAN ROAD, ANTHONY, TX 79821",Not Suspended,2024-04-01 09:54:52 PDT,79821
2495,USP LEAVENWORTH,1837,Male,Kansas,Leavenworth,North Central Region,"1300 METROPOLITAN, LEAVENWORTH, KS 66048",Suspended,2024-04-01 09:55:07 PDT,66048
2496,USP LEE,1403,Male,Western Virginia,Lee,Mid-Atlantic Region,"LEE COUNTY INDUSTRIAL PARK, PENNINGTON GAP, VA 24277",Not Suspended,2024-04-01 09:55:22 PDT,24277
2497,USP LEWISBURG,1073,Male,Middle Pennsylvania,UNION,Northeast Region,"2400 ROBERT F. MILLER DRIVE, LEWISBURG, PA 17837",Not Suspended,2024-04-01 09:55:38 PDT,17837
2498,FMC LEXINGTON,1238,Male and Female,Eastern Kentucky,Fayette,Mid-Atlantic Region,"3301 LEESTOWN ROAD, LEXINGTON, KY 40511",Not Suspended,2024-04-01 09:55:53 PDT,40511
2499,FCI LOMPOC,879,Male,Central California,SANTA BARBARA,Western Region,"3600 GUARD ROAD, LOMPOC, CA 93436",Not Suspended,2024-04-01 09:56:08 PDT,93436
2500,USP LOMPOC,2287,Male,Central California,SANTA BARBARA,Western Region,"3901 KLEIN BLVD, LOMPOC, CA 93436",Not Suspended,2024-04-01 09:56:25 PDT,93436
2501,FCI LORETTO,799,Male,Western Pennsylvania,CAMBRIA,Northeast Region,"772 SAINT JOSEPH ST., LORETTO, PA 15940",Not Suspended,2024-04-01 09:56:40 PDT,15940
2502,MDC LOS ANGELES,602,Male and Female,Central California,Los Angeles,Western Region,"535 N ALAMEDA STREET, LOS ANGELES, CA 90012",Not Suspended,2024-04-01 09:56:56 PDT,90012
2503,FCI MANCHESTER,1108,Male,Eastern Kentucky,Clay,Mid-Atlantic Region,"805 FOX HOLLOW ROAD, MANCHESTER, KY 40962",Not Suspended,2024-04-01 09:57:11 PDT,40962
2504,FCI MARIANNA,1227,Male and Female,Northern Florida,Jackson,Southeast Region,"3625 FCI ROAD, MARIANNA, FL 32446",Not Suspended,2024-04-01 09:57:27 PDT,32446
2505,USP MARION,1261,Male,Southern Illinois,Williamson,North Central Region,"4500 PRISON ROAD, MARION, IL 62959",Not Suspended,2024-04-01 09:57:42 PDT,62959
2506,USP MCCREARY,1517,Male,Eastern Kentucky,McCreary,Mid-Atlantic Region,"330 FEDERAL WAY, PINE KNOT, KY 42635",Not Suspended,2024-04-01 09:57:57 PDT,42635
2507,FCI MCDOWELL,1563,Male,Southern West Virginia,MCDOWELL,Mid-Atlantic Region,"101 FEDERAL DRIVE, WELCH, WV 24801",Not Suspended,2024-04-01 09:58:13 PDT,24801
2508,FCI MCKEAN,1077,Male,Western Pennsylvania,MCKEAN,Northeast Region,"6975 ROUTE 59, LEWIS RUN, PA 16738",Suspended,2024-04-01 09:58:28 PDT,16738
2509,FCI MEMPHIS,1061,Male,Western Tennessee,SHELBY,Mid-Atlantic Region,"1101 JOHN A DENIE ROAD, MEMPHIS, TN 38134",Suspended,2024-04-01 09:58:43 PDT,38134
2510,FCI MENDOTA,943,Male,Eastern District of California,FRESNO,Western Region,"33500 WEST CALIFORNIA AVENUE, MENDOTA, CA 93640",Not Suspended,2024-04-01 09:58:59 PDT,93640
2511,FCI MIAMI,1001,Male,Southern Florida,Miami-Dade,Southeast Region,"15801 S.W. 137TH AVENUE, MIAMI, FL 33177",Not Suspended,2024-04-01 09:59:14 PDT,33177
2512,FDC MIAMI,909,Male and Female,Southern Florida,Miami-Dade,Southeast Region,"33 NE 4TH STREET, MIAMI, FL 33132",Not Suspended,2024-04-01 09:59:30 PDT,33132
2513,FCI MILAN,1586,Male,Eastern Michigan,WASHTENAW,North Central Region,"4004 EAST ARKONA ROAD, MILAN, MI 48160",Not Suspended,2024-04-01 09:59:45 PDT,48160
2514,FPC MONTGOMERY,662,Male,Middle Alabama,MONTGOMERY,Southeast Region,"MAXWELL AIR FORCE BASE, MONTGOMERY, AL 36112",Not Suspended,2024-04-01 10:00:00 PDT,36112
2515,FCI MORGANTOWN,368,Male,Northern West Virginia,Monongalia,Mid-Atlantic Region,"446 GREENBAG ROAD, ROUTE 857, MORGANTOWN, WV 26501",Not Suspended,2024-04-01 10:00:16 PDT,26501
2516,MCC NEW YORK,0,Male,Southern New York,New York,Northeast Region,"150 PARK ROW, NEW YORK, NY 10007",Suspended,2024-04-01 10:00:31 PDT,10007
2517,FCI OAKDALE II,1116,Male,Western Louisiana,ALLEN,South Central Region,"2105 EAST WHATLEY ROAD, OAKDALE, LA 71463",Not Suspended,2024-04-01 10:00:47 PDT,71463
2518,FCI OAKDALE I,819,Male,Western Louisiana,ALLEN,South Central Region,"1507 EAST WHATLEY ROAD, OAKDALE, LA 71463",Not Suspended,2024-04-01 10:01:02 PDT,71463
2519,FTC OKLAHOMA CITY,1276,Male and Female,Western Oklahoma,OKLAHOMA,South Central Region,"7410 S. MACARTHUR BLVD, OKLAHOMA CITY, OK 73169",Not Suspended,2024-04-01 10:01:18 PDT,73169
2520,FCI OTISVILLE,1064,Male,Southern New York,ORANGE,Northeast Region,"TWO MILE DRIVE, OTISVILLE, NY 10963",Not Suspended,2024-04-01 10:01:33 PDT,10963
2521,FCI OXFORD,1085,Male,Western Wisconsin,ADAMS,North Central Region,"COUNTY ROAD G & ELK AVENUE, OXFORD, WI 53952",Not Suspended,2024-04-01 10:01:49 PDT,53952
2522,FCI PEKIN,1257,Male and Female,Central Illinois,TAZEWELL,North Central Region,"2600 S. SECOND ST., PEKIN, IL 61554",Not Suspended,2024-04-01 10:02:04 PDT,61554
2523,FPC PENSACOLA,434,Male,Northern Florida,ESCAMBIA,Southeast Region,"110 RABY AVE, PENSACOLA, FL 32509",Not Suspended,2024-04-01 10:02:20 PDT,32509
2524,FCI PETERSBURG MEDIUM,1662,Male,Eastern Virginia,Hopewell City,Mid-Atlantic Region,"1060 RIVER ROAD, HOPEWELL, VA 23860",Not Suspended,2024-04-01 10:02:35 PDT,23860
2525,FCI PETERSBURG LOW,665,Male,Eastern Virginia,Hopewell City,Mid-Atlantic Region,"1100 RIVER ROAD, HOPEWELL, VA 23860",Not Suspended,2024-04-01 10:02:50 PDT,23860
2526,FDC PHILADELPHIA,892,Male and Female,Eastern Pennsylvania,Philadelphia,Northeast Region,"700 ARCH STREET, PHILADELPHIA, PA 19106",Not Suspended,2024-04-01 10:03:06 PDT,19106
2527,FCI PHOENIX,1177,Male and Female,Arizona,Maricopa,Western Region,"37900 N 45TH AVE, PHOENIX, AZ 85086",Not Suspended,2024-04-01 10:03:21 PDT,85086
2528,FCI POLLOCK,1554,Male,Western Louisiana,GRANT,South Central Region,"1000 AIRBASE ROAD, POLLOCK, LA 71467",Not Suspended,2024-04-01 10:03:37 PDT,71467
2529,USP POLLOCK,1129,Male,Western Louisiana,Grant,South Central Region,"1000 AIRBASE ROAD, POLLOCK, LA 71467",Not Suspended,2024-04-01 10:03:52 PDT,71467
2530,FCI RAY BROOK,641,Male,Northern New York,Essex,Northeast Region,"128 RAY BROOK ROAD, RAY BROOK, NY 12977",Not Suspended,2024-04-01 10:04:08 PDT,12977
2531,FMC ROCHESTER,647,Male,Minnesota,OLMSTED,North Central Region,"2110 EAST CENTER STREET, ROCHESTER, MN 55904",Not Suspended,2024-04-01 10:04:23 PDT,55904
2532,FCI SAFFORD,658,Male,Arizona,Graham,Western Region,"1529 WEST HIGHWAY 366, SAFFORD, AZ 85546",Not Suspended,2024-04-01 10:04:39 PDT,85546
2533,MCC SAN DIEGO,628,Male and Female,Southern California,San Diego,Western Region,"808 UNION STREET, SAN DIEGO, CA 92101",Not Suspended,2024-04-01 10:04:54 PDT,92101
2534,FCI SANDSTONE,1122,Male,Minnesota,Pine,North Central Region,"2300 COUNTY RD 29, SANDSTONE, MN 55072",Not Suspended,2024-04-01 10:05:10 PDT,55072
2535,FCI SCHUYLKILL,1128,Male,Middle Pennsylvania,SCHUYLKILL,Northeast Region,"INTERSTATE 81 & 901 W, MINERSVILLE, PA 17954",Suspended,2024-04-01 10:05:25 PDT,17954
2536,FCI SEAGOVILLE,1718,Male,Northern Texas,Dallas,South Central Region,"2113 NORTH HWY 175, SEAGOVILLE, TX 75159",Not Suspended,2024-04-01 10:05:40 PDT,75159
2537,FDC SEATAC,797,Male and Female,Western Washington,King,Western Region,"2425 SOUTH 200TH STREET, SEATTLE, WA 98198",Suspended,2024-04-01 10:05:56 PDT,98198
2538,FCI SHERIDAN,1594,Male,Oregon,YAMHILL,Western Region,"27072 BALLSTON ROAD, SHERIDAN, OR 97378",Not Suspended,2024-04-01 10:06:11 PDT,97378
2539,MCFP SPRINGFIELD,996,Male,Western Missouri,GREENE,North Central Region,"1900 W. SUNSHINE ST, SPRINGFIELD, MO 65807",Not Suspended,2024-04-01 10:06:27 PDT,65807
2540,FCI TALLADEGA,1149,Male,Northern Alabama,Talladega,Southeast Region,"565 EAST RENFROE ROAD, TALLADEGA, AL 35160",Not Suspended,2024-04-01 10:06:42 PDT,35160
2541,FCI TALLAHASSEE,1067,Male and Female,Northern Florida,Leon,Southeast Region,"501 CAPITAL CIRCLE, NE, TALLAHASSEE, FL 32301",Not Suspended,2024-04-01 10:06:57 PDT,32301
2542,FCI TERMINAL ISLAND,933,Male,Central California,LOS ANGELES,Western Region,"1299 SEASIDE AVENUE, SAN PEDRO, CA 90731",Not Suspended,2024-04-01 10:07:13 PDT,90731
2543,FCI TERRE HAUTE,1355,Male,Southern Indiana,VIGO,North Central Region,"4200 BUREAU ROAD NORTH, TERRE HAUTE, IN 47808",Suspended,2024-04-01 10:07:28 PDT,47808
2544,USP TERRE HAUTE,1253,Male,Southern Indiana,VIGO,North Central Region,"4700 BUREAU ROAD SOUTH, TERRE HAUTE, IN 47802",Not Suspended,2024-04-01 10:07:44 PDT,47802
2545,FCI TEXARKANA,1224,Male,Eastern Texas,Bowie,South Central Region,"4001 LEOPARD DRIVE, TEXARKANA, TX 75501",Not Suspended,2024-04-01 10:07:59 PDT,75501
2546,FCI THOMSON,1998,Male,Northern District of Illinois,CARROLL,North Central Region,"1100 ONE MILE ROAD, THOMSON, IL 61285",Not Suspended,2024-04-01 10:08:15 PDT,61285
2547,FCI THREE RIVERS,1303,Male,Southern Texas,Live Oak,South Central Region,"US HIGHWAY 72 WEST, THREE RIVERS, TX 78071",Not Suspended,2024-04-01 10:08:30 PDT,78071
2548,FCI TUCSON,374,Male and Female,Arizona,PIMA,Western Region,"8901 S. WILMOT ROAD, TUCSON, AZ 85756",Not Suspended,2024-04-01 10:08:45 PDT,85756
2549,USP TUCSON,1315,Male,Arizona,PIMA,Western Region,"9300 SOUTH WILMOT ROAD, TUCSON, AZ 85756",Not Suspended,2024-04-01 10:09:01 PDT,85756
2550,FCI VICTORVILLE MEDIUM I,1578,Male and Female,Central California,SAN BERNARDINO,Western Region,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Not Suspended,2024-04-01 10:09:16 PDT,92394
2551,FCI VICTORVILLE MEDIUM II,1430,Male,Central California,SAN BERNARDINO,Western Region,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Not Suspended,2024-04-01 10:09:32 PDT,92394
2552,USP VICTORVILLE,1201,Male,Central California,San Bernardino,Western Region,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Not Suspended,2024-04-01 10:09:47 PDT,92394
2553,FCI WASECA,782,Female,Minnesota,Waseca,North Central Region,"1000 UNIVERSITY DR, SW, WASECA, MN 56093",Not Suspended,2024-04-01 10:10:03 PDT,56093
2554,FCI WILLIAMSBURG,1199,Male,South Carolina,Williamsburg,Southeast Region,"8301 HIGHWAY 521, SALTERS, SC 29590",Not Suspended,2024-04-01 10:10:18 PDT,29590
2555,FPC YANKTON,424,Male,South Dakota,Yankton,North Central Region,"1016 DOUGLAS AVENUE, YANKTON, SD 57078",Not Suspended,2024-04-01 10:10:33 PDT,57078
2556,FCI YAZOO CITY MEDIUM,1283,Male,Southern Mississippi,YAZOO,Southeast Region,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Not Suspended,2024-04-01 10:10:49 PDT,39194
2557,FCI YAZOO CITY LOW,1353,Male,Southern Mississippi,YAZOO,Southeast Region,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Not Suspended,2024-04-01 10:11:04 PDT,39194
